EntryId;PublicXUsername;PublicTelegramUsername;WalletMasked;PublicStatus;DrawInput
213;@hcaanttik;@liyaacantikk;0x5146...7e24;OK;213|@hcaanttik|@liyaacantikk|0x5146...7e24
214;@gtqqyanii;@ikanbila;0xa6b5...1900;OK;214|@gtqqyanii|@ikanbila|0xa6b5...1900
215;@pamandazezc;@zezazul;0x5d0d...0367;OK;215|@pamandazezc|@zezazul|0x5d0d...0367
216;@trazeyyalt;@zeyalstra;0x63fc...8fb3;OK;216|@trazeyyalt|@zeyalstra|0x63fc...8fb3
217;@siffayuuuaf;@yuanasiffa;0x6f3b...ce5c;OK;217|@siffayuuuaf|@yuanasiffa|0x6f3b...ce5c
218;@airesyerralg;@yeraaires;0x2325...4053;OK;218|@airesyerralg|@yeraaires|0x2325...4053
219;@yantisamikr;@yantisami;0xf4d3...dddc;OK;219|@yantisamikr|@yantisami|0xf4d3...dddc
220;@kicikkwoyoev;@woyoungkicik;0x3c5b...34ff;OK;220|@kicikkwoyoev|@woyoungkicik|0x3c5b...34ff
221;@bhellwouyx;@whoubhel;0x2ef1...fb0d;OK;221|@bhellwouyx|@whoubhel|0x2ef1...fb0d
222;@pratamatamz;@kk_adt;0x9473...e5af;OK;222|@pratamatamz|@kk_adt|0x9473...e5af
223;@junitalittxx;@ancia3;0x86ff...498f;OK;223|@junitalittxx|@ancia3|0x86ff...498f
224;@duattaies;@funcheal;0xb8cf...da72;OK;224|@duattaies|@funcheal|0xb8cf...da72
225;@vianasyylyhk;@golebikhar;0x4510...771f;OK;225|@vianasyylyhk|@golebikhar|0x4510...771f
226;@dodiskrnt;@papisola;0x9c8d...761f;OK;226|@dodiskrnt|@papisola|0x9c8d...761f
227;@amazonsungfno;@spartons_x;0xc5fe...7f71;OK;227|@amazonsungfno|@spartons_x|0xc5fe...7f71
228;@fbolmem;@sparta_6;0x19ff...abe1;OK;228|@fbolmem|@sparta_6|0x19ff...abe1
229;@sirfitoo;@alfitoms;0x36fb...5567;OK;229|@sirfitoo|@alfitoms|0x36fb...5567
230;@philipawingu;@winniepillie;0xb348...a853;OK;230|@philipawingu|@winniepillie|0xb348...a853
231;@sariahviooq;@violasariah;0x18ff...ca40;OK;231|@sariahviooq|@violasariah|0x18ff...ca40
232;@ryeviffjn;@vifjrye;0x2445...bbfa;OK;232|@ryeviffjn|@vifjrye|0x2445...bbfa
233;@yurvebrq;@vebryur;0x3ac9...31db;OK;233|@yurvebrq|@vebryur|0x3ac9...31db
234;@tahutumbassk;@tumbastahu;0x0208...f993;OK;234|@tahutumbassk|@tumbastahu|0x0208...f993
235;@ovywidya;@zerra1993;0xb714...9191;OK;235|@ovywidya|@zerra1993|0xb714...9191
236;@cassidy_yes4;@baim_4;0x14f6...71f8;OK;236|@cassidy_yes4|@baim_4|0x14f6...71f8
237;@radzshinwoo;@radzshinwoo;0x0600...60cc;OK;237|@radzshinwoo|@radzshinwoo|0x0600...60cc
238;@budakjalanan123;@aingadji;0xf2a0...1e97;OK;238|@budakjalanan123|@aingadji|0xf2a0...1e97
239;@alvarzai;@angelizahe;0x40e2...0b65;OK;239|@alvarzai|@angelizahe|0x40e2...0b65
